the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000080C47A52C0000000A07E624440,683840,0101000020110F000033B3DB4DAF635FC11CDB1F27B8FD5241,40.7694892883301,-73.9182434082031,Queens,A1,ALT 1 Enlargement,421392095,4008677,A1,6044,true,6495,6/5/2019,12/28/2019 12:00,25-31,31 STREET,401,NYC BUILDING SOLUTIONS CO,RESIDENTIAL: APARTMENT HOUSES,6,7
0101000020E610000000000080A07952C0000000A07E624440,451163,0101000020110F00006B631050BF615FC11CDB1F27B8FD5241,40.7694892883301,-73.9004211425781,Queens,A1,ALT 1 Enlargement,421672906,4014312,A1,6045,true,0,7/17/2019,1/13/2020 12:00,21-69,48TH STREET,401,TPG CONTRACTING CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000204B7952C00000004081624440,220000,0101000020110F0000A3DC724B2E615FC1A049B818BBFD5241,40.7695693969727,-73.8952102661133,Queens,A1,ALT 1 Enlargement,421629205,4021372,A1,6046,true,944,11/12/2019,7/13/2020 12:00,21-21,74 STREET,401,GO PRO RESTORATION & MAIN,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E610000000000040D17A52C0000000A082624440,2445256,0101000020110F0000243517F6C4635FC198F075A3BCFD5241,40.7696113586426,-73.9190216064453,Queens,NB,New Building,421299375,4007828,NB,6047,false,16522,6/6/2019,6/5/2020 12:00,25-40,31ST STREET,401,FEDERICI BUILDERS CORP,RESIDENTIAL: APARTMENT HOUSES,7,16
0101000020E6100000000000E06A7B52C0000000E084624440,2096124,0101000020110F000010FBA7E8C9645FC16E996629BFFD5241,40.7696800231934,-73.9283981323242,Queens,NB,New Building,421216473,4006037,NB,6048,false,14163,5/22/2019,4/8/2020 12:00,30-12,21ST STREET,401,SPARTAN QUALITY CORP,RESIDENTIAL: APARTMENT HOUSES,6,14
0101000020E610000000000080BF7952C0000000E085624440,772560,0101000020110F00005A9A28F8F3615FC1D7477C48C0FD5241,40.7697105407715,-73.9023132324219,Queens,NB,New Building,421583049,4539508,NB,6049,false,5220,10/10/2019,10/9/2020 12:00,22-10,47TH STREET,401,GREYLINE CONSTRUCTION COR,RESIDENTIAL: APARTMENT HOUSES,3,3
0101000020E610000000000020557952C00000008087624440,188000,0101000020110F000012C5DD473F615FC1B695FF1AC2FD5241,40.7697601318359,-73.8958206176758,Queens,A1,ALT 1 Enlargement,421423230,4021304,A1,6050,true,224,11/1/2019,10/26/2020 12:00,21-12,74 STREET,401,BUILD-SOURCE CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E610000000000080077352C0000000C088624440,270000,0101000020110F0000427054608A565FC16CCDDA81C3FD5241,40.7697982788086,-73.7973327636719,Queens,A1,ALT 1 Enlargement,421489080,4443401,A1,6051,true,4680,10/2/2019,12/13/2019 12:00,29-32,168TH STREET,407,JW CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000E06E7252C0000000808A624440,551004,0101000020110F0000FC279B2087555FC1E9FE4078C5FD5241,40.7698516845703,-73.7880172729492,Queens,NB,New Building,421713088,4134318,NB,6052,false,3723,10/8/2019,5/25/2020 12:00,201-06,32 AVE,411,WINSON CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000E06E7252C0000000808A624440,336148,0101000020110F0000FC279B2087555FC1E9FE4078C5FD5241,40.7698516845703,-73.7880172729492,Queens,A1,ALT 1 Enlargement,421621551,4134318,A1,6053,true,643,10/3/2019,5/25/2020 12:00,201-06,32 AVE,411,WINSON CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
